znonanowires.spc - RawData		
"Wavelength nm.,""T%"""	Transmittance	Wavelength
"655.00,68.926"	68.926	655
"656.00,68.935"	68.935	656
"657.00,68.999"	68.999	657
"658.00,69.033"	69.033	658
"659.00,69.089"	69.089	659
"660.00,69.082"	69.082	660
"661.00,69.142"	69.142	661
"662.00,69.153"	69.153	662
"663.00,69.244"	69.244	663
"664.00,69.195"	69.195	664
"665.00,69.267"	69.267	665
"666.00,69.253"	69.253	666
"667.00,69.306"	69.306	667
"668.00,69.334"	69.334	668
"669.00,69.357"	69.357	669
"670.00,69.446"	69.446	670
"671.00,69.506"	69.506	671
"672.00,69.575"	69.575	672
"673.00,69.577"	69.577	673
"674.00,69.557"	69.557	674
"675.00,69.602"	69.602	675
"676.00,69.640"	69.64	676
"677.00,69.655"	69.655	677
"678.00,69.712"	69.712	678
"679.00,69.759"	69.759	679
"680.00,69.792"	69.792	680
"681.00,69.759"	69.759	681
"682.00,69.759"	69.759	682
"683.00,69.820"	69.82	683
"684.00,69.845"	69.845	684
"685.00,69.891"	69.891	685
"686.00,69.882"	69.882	686
"687.00,69.955"	69.955	687
"688.00,69.996"	69.996	688
"689.00,70.016"	70.016	689
"690.00,70.046"	70.046	690
"691.00,70.072"	70.072	691
"692.00,70.135"	70.135	692
"693.00,70.121"	70.121	693
"694.00,70.151"	70.151	694
"695.00,70.149"	70.149	695
"696.00,70.171"	70.171	696
"697.00,70.182"	70.182	697
"698.00,70.285"	70.285	698
"699.00,70.347"	70.347	699
"700.00,70.405"	70.405	700
"701.00,70.400"	70.4	701
"702.00,70.460"	70.46	702
"703.00,70.474"	70.474	703
"704.00,70.486"	70.486	704
"705.00,70.481"	70.481	705
"706.00,70.504"	70.504	706
"707.00,70.531"	70.531	707
"708.00,70.464"	70.464	708
"709.00,70.453"	70.453	709
"710.00,70.409"	70.409	710
"711.00,70.483"	70.483	711
"712.00,70.502"	70.502	712
"713.00,70.607"	70.607	713
"714.00,70.666"	70.666	714
"715.00,70.693"	70.693	715
"716.00,70.716"	70.716	716
"717.00,70.680"	70.68	717
"718.00,70.701"	70.701	718
"719.00,70.716"	70.716	719
"720.00,70.760"	70.76	720
"721.00,70.848"	70.848	721
"722.00,70.883"	70.883	722
"723.00,70.959"	70.959	723
"724.00,70.971"	70.971	724
"725.00,71.030"	71.03	725
"726.00,71.068"	71.068	726
"727.00,71.013"	71.013	727
"728.00,71.004"	71.004	728
"729.00,70.955"	70.955	729
"730.00,71.033"	71.033	730
"731.00,71.010"	71.01	731
"732.00,71.058"	71.058	732
"733.00,71.080"	71.08	733
"734.00,71.131"	71.131	734
"735.00,71.166"	71.166	735
"736.00,71.198"	71.198	736
"737.00,71.194"	71.194	737
"738.00,71.211"	71.211	738
"739.00,71.157"	71.157	739
"740.00,71.178"	71.178	740
"741.00,71.214"	71.214	741
"742.00,71.272"	71.272	742
"743.00,71.351"	71.351	743
"744.00,71.381"	71.381	744
"745.00,71.391"	71.391	745
"746.00,71.375"	71.375	746
"747.00,71.400"	71.4	747
"748.00,71.406"	71.406	748
"749.00,71.422"	71.422	749
"750.00,71.387"	71.387	750
"751.00,71.421"	71.421	751
"752.00,71.445"	71.445	752
"753.00,71.441"	71.441	753
"754.00,71.508"	71.508	754
"755.00,71.536"	71.536	755
"756.00,71.606"	71.606	756
"757.00,71.564"	71.564	757
"758.00,71.539"	71.539	758
"759.00,71.477"	71.477	759
"760.00,71.489"	71.489	760
"761.00,71.511"	71.511	761
"762.00,71.647"	71.647	762
"763.00,71.668"	71.668	763
"764.00,71.724"	71.724	764
"765.00,71.661"	71.661	765
"766.00,71.701"	71.701	766
"767.00,71.666"	71.666	767
"768.00,71.730"	71.73	768
"769.00,71.730"	71.73	769
"770.00,71.739"	71.739	770
"771.00,71.717"	71.717	771
"772.00,71.741"	71.741	772
"773.00,71.754"	71.754	773
"774.00,71.734"	71.734	774
